date,port,cargo_type,historical_demand,inventory,import_volume,commodity_price,production_index,seasonality,port_traffic,demand
2019-02-01,Paradip,Iron Ore,178012,78427,182981,114.9,106.3,1.0,58,202217
2019-02-01,Chennai,Coal,161723,67458,157763,114.9,106.3,1.0,39,187155
2019-02-01,Chennai,Iron Ore,130027,54264,112244,114.9,106.3,1.0,32,150785
2019-02-01,Kamarajar,Coal,185107,65743,200558,114.9,106.3,1.0,43,220566
2019-02-01,Kamarajar,Iron Ore,153361,66491,150493,114.9,106.3,1.0,35,176245
2019-02-01,Haldia,Coal,140372,59265,136086,114.9,106.3,1.0,34,169142
2019-02-01,Haldia,Iron Ore,95125,33755,80921,114.9,106.3,1.0,33,104998
2019-03-01,Visakhapatnam,Coal,232625,71670,251530,112.8,98.1,1.075,51,255323
2019-03-01,Visakhapatnam,Iron Ore,201803,69700,202758,112.8,98.1,1.075,52,222042
2019-03-01,Paradip,Coal,262070,92144,244674,112.8,98.1,1.075,50,281881
2019-03-01,Paradip,Iron Ore,221440,95577,190332,112.8,98.1,1.075,53,233962
2019-03-01,Chennai,Coal,168369,65940,154043,112.8,98.1,1.075,38,177569
2019-03-01,Chennai,Iron Ore,148272,54848,145136,112.8,98.1,1.075,39,161864
2019-03-01,Kamarajar,Coal,187876,83398,179842,112.8,98.1,1.075,33,198901
2019-03-01,Kamarajar,Iron Ore,159630,61378,162014,112.8,98.1,1.075,41,168927
2019-03-01,Haldia,Coal,147186,49678,159690,112.8,98.1,1.075,33,164954
2019-03-01,Haldia,Iron Ore,105653,39641,109922,112.8,98.1,1.075,30,117911
2019-04-01,Visakhapatnam,Coal,250281,79059,263682,119.7,105.3,1.13,48,291320
2019-04-01,Visakhapatnam,Iron Ore,190446,61346,201419,119.7,105.3,1.13,58,223161
2019-04-01,Paradip,Coal,284088,90003,272271,119.7,105.3,1.13,60,336186
2019-04-01,Paradip,Iron Ore,219698,89627,224623,119.7,105.3,1.13,50,252833
2019-04-01,Chennai,Coal,190952,66517,173615,119.7,105.3,1.13,39,215233
2019-04-01,Chennai,Iron Ore,149042,51059,128492,119.7,105.3,1.13,42,175825
2019-04-01,Kamarajar,Coal,212114,66977,181306,119.7,105.3,1.13,43,236488
2019-04-01,Kamarajar,Iron Ore,155367,61547,134987,119.7,105.3,1.13,42,177499
2019-04-01,Haldia,Coal,160578,54719,166011,119.7,105.3,1.13,35,182999
2019-04-01,Haldia,Iron Ore,115858,51932,126729,119.7,105.3,1.13,33,138081
2019-05-01,Visakhapatnam,Coal,263807,92349,245113,114.1,105.3,1.15,52,300388
2019-05-01,Visakhapatnam,Iron Ore,206948,77837,224845,114.1,105.3,1.15,50,242219
2019-05-01,Paradip,Coal,282893,106270,284788,114.1,105.3,1.15,63,326072
2019-05-01,Paradip,Iron Ore,222540,79166,205517,114.1,105.3,1.15,52,249768
2019-05-01,Chennai,Coal,196312,61205,211675,114.1,105.3,1.15,36,230034
2019-05-01,Chennai,Iron Ore,162745,60854,165560,114.1,105.3,1.15,33,186474
2019-05-01,Kamarajar,Coal,200201,72935,192898,114.1,105.3,1.15,44,228376
2019-05-01,Kamarajar,Iron Ore,173871,54078,182084,114.1,105.3,1.15,41,196880
2019-05-01,Haldia,Coal,149490,46459,157919,114.1,105.3,1.15,38,171647
2019-05-01,Haldia,Iron Ore,118036,47542,118824,114.1,105.3,1.15,36,131184
2019-06-01,Visakhapatnam,Coal,259440,100738,246213,114.8,99.2,1.13,53,282624
2019-06-01,Visakhapatnam,Iron Ore,193931,82733,179823,114.8,99.2,1.13,48,204503
2019-06-01,Paradip,Coal,267521,89942,278435,114.8,99.2,1.13,56,296215
2019-06-01,Paradip,Iron Ore,233836,105222,256415,114.8,99.2,1.13,57,256726
2019-06-01,Chennai,Coal,200979,60998,218900,114.8,99.2,1.13,35,217103
2019-06-01,Chennai,Iron Ore,151425,56022,149830,114.8,99.2,1.13,44,172940
2019-06-01,Kamarajar,Coal,201441,70096,213841,114.8,99.2,1.13,42,216529
2019-06-01,Kamarajar,Iron Ore,138293,49366,127185,114.8,99.2,1.13,46,156122
2019-06-01,Haldia,Coal,145064,56827,134758,114.8,99.2,1.13,36,154032
2019-06-01,Haldia,Iron Ore,118744,36916,102183,114.8,99.2,1.13,34,122668
2019-07-01,Visakhapatnam,Coal,248069,77119,231302,109.9,103.5,1.075,50,288023
2019-07-01,Visakhapatnam,Iron Ore,189519,62384,192893,109.9,103.5,1.075,51,210067
2019-07-01,Paradip,Coal,283376,87498,289522,109.9,103.5,1.075,54,330518
2019-07-01,Paradip,Iron Ore,196187,62831,169998,109.9,103.5,1.075,57,227477
2019-07-01,Chennai,Coal,181586,54900,195781,109.9,103.5,1.075,33,206600
2019-07-01,Chennai,Iron Ore,144200,46518,122802,109.9,103.5,1.075,43,159332
2019-07-01,Kamarajar,Coal,197791,66289,188453,109.9,103.5,1.075,34,228790
2019-07-01,Kamarajar,Iron Ore,151480,64678,160284,109.9,103.5,1.075,44,168681
2019-07-01,Haldia,Coal,154200,46577,167630,109.9,103.5,1.075,28,185688
2019-07-01,Haldia,Iron Ore,110986,36227,113809,109.9,103.5,1.075,31,127815
2019-08-01,Visakhapatnam,Coal,240146,99921,227749,107.5,104.5,1.0,55,271792
2019-08-01,Visakhapatnam,Iron Ore,180978,72783,184882,107.5,104.5,1.0,52,199865
2019-08-01,Paradip,Coal,261237,79689,287153,107.5,104.5,1.0,58,301678
2019-08-01,Paradip,Iron Ore,198252,69130,199364,107.5,104.5,1.0,50,225825
2019-08-01,Chennai,Coal,169915,65619,184551,107.5,104.5,1.0,42,195288
2019-08-01,Chennai,Iron Ore,132342,54106,145214,107.5,104.5,1.0,38,151207
2019-08-01,Kamarajar,Coal,164347,70009,146024,107.5,104.5,1.0,37,182521
2019-08-01,Kamarajar,Iron Ore,137813,44670,127696,107.5,104.5,1.0,39,156489
2019-08-01,Haldia,Coal,141467,50089,131229,107.5,104.5,1.0,30,170393
2019-08-01,Haldia,Iron Ore,100161,32907,105387,107.5,104.5,1.0,32,117623
2019-09-01,Visakhapatnam,Coal,210687,81676,224546,115.4,102.5,0.925,50,237295
2019-09-01,Visakhapatnam,Iron Ore,165820,67698,169948,115.4,102.5,0.925,58,178278
2019-09-01,Paradip,Coal,235715,74634,236335,115.4,102.5,0.925,58,270067
2019-09-01,Paradip,Iron Ore,173741,69800,184647,115.4,102.5,0.925,51,194742
2019-09-01,Chennai,Coal,157770,49567,151368,115.4,102.5,0.925,35,180190
2019-09-01,Chennai,Iron Ore,127804,42218,131811,115.4,102.5,0.925,34,137997
2019-09-01,Kamarajar,Coal,161564,57008,137784,115.4,102.5,0.925,44,180343
2019-09-01,Kamarajar,Iron Ore,129857,42480,140928,115.4,102.5,0.925,38,146311
2019-09-01,Haldia,Coal,128816,40429,117466,115.4,102.5,0.925,27,138187
2019-09-01,Haldia,Iron Ore,94302,42142,92206,115.4,102.5,0.925,30,100523
2019-10-01,Visakhapatnam,Coal,199733,76023,218350,109.0,108.5,0.87,49,232578
2019-10-01,Visakhapatnam,Iron Ore,156042,60632,157360,109.0,108.5,0.87,51,183981
2019-10-01,Paradip,Coal,232604,77050,209781,109.0,108.5,0.87,60,276111
2019-10-01,Paradip,Iron Ore,161580,68972,161833,109.0,108.5,0.87,58,188216
2019-10-01,Chennai,Coal,141102,47769,123297,109.0,108.5,0.87,44,164104
2019-10-01,Chennai,Iron Ore,116918,38400,109023,109.0,108.5,0.87,35,140830
2019-10-01,Kamarajar,Coal,147650,53405,141512,109.0,108.5,0.87,33,178862
2019-10-01,Kamarajar,Iron Ore,122291,51331,128995,109.0,108.5,0.87,40,144036
2019-10-01,Haldia,Coal,128707,50401,141235,109.0,108.5,0.87,32,158868
2019-10-01,Haldia,Iron Ore,99981,32500,90786,109.0,108.5,0.87,28,122092
2019-11-01,Visakhapatnam,Coal,195712,74297,200504,109.2,102.6,0.85,51,223383
2019-11-01,Visakhapatnam,Iron Ore,152706,51089,145235,109.2,102.6,0.85,54,166114
2019-11-01,Paradip,Coal,227077,68883,231963,109.2,102.6,0.85,56,257638
2019-11-01,Paradip,Iron Ore,160416,63345,144014,109.2,102.6,0.85,64,181956
2019-11-01,Chennai,Coal,150640,67744,159282,109.2,102.6,0.85,32,169108
2019-11-01,Chennai,Iron Ore,122382,49224,109942,109.2,102.6,0.85,35,132863
2019-11-01,Kamarajar,Coal,146336,63106,126679,109.2,102.6,0.85,46,151992
2019-11-01,Kamarajar,Iron Ore,124587,42800,116612,109.2,102.6,0.85,32,136701
2019-11-01,Haldia,Coal,129657,44623,132070,109.2,102.6,0.85,32,151070
2019-11-01,Haldia,Iron Ore,93652,29195,81201,109.2,102.6,0.85,39,107174
2019-12-01,Visakhapatnam,Coal,202739,83671,180891,109.2,105.8,0.87,52,229593
2019-12-01,Visakhapatnam,Iron Ore,149560,53581,147761,109.2,105.8,0.87,45,172790
2019-12-01,Paradip,Coal,217577,70252,230243,109.2,105.8,0.87,57,256078
2019-12-01,Paradip,Iron Ore,175548,71902,172526,109.2,105.8,0.87,56,197196
2019-12-01,Chennai,Coal,149628,52673,162112,109.2,105.8,0.87,40,173552
2019-12-01,Chennai,Iron Ore,120742,49560,124750,109.2,105.8,0.87,38,134863
2019-12-01,Kamarajar,Coal,149842,58605,145536,109.2,105.8,0.87,42,173395
2019-12-01,Kamarajar,Iron Ore,117713,39039,108864,109.2,105.8,0.87,32,140427
2019-12-01,Haldia,Coal,102510,34867,95475,109.2,105.8,0.87,30,123052
2019-12-01,Haldia,Iron Ore,96623,31742,89636,109.2,105.8,0.87,28,110737
2020-01-01,Visakhapatnam,Coal,202951,63639,218409,129.4,108.1,0.925,51,241343
2020-01-01,Visakhapatnam,Iron Ore,179899,73635,192519,129.4,108.1,0.925,53,208575
2020-01-01,Paradip,Coal,246952,98516,254375,129.4,108.1,0.925,59,292004
2020-01-01,Paradip,Iron Ore,199160,87004,182270,129.4,108.1,0.925,56,229486
2020-01-01,Chennai,Coal,157183,48710,134581,129.4,108.1,0.925,44,183980
2020-01-01,Chennai,Iron Ore,128130,48178,126588,129.4,108.1,0.925,33,146889
2020-01-01,Kamarajar,Coal,159784,65137,139305,129.4,108.1,0.925,39,181692
2020-01-01,Kamarajar,Iron Ore,136004,43047,140793,129.4,108.1,0.925,44,164390
2020-01-01,Haldia,Coal,139915,61382,128083,129.4,108.1,0.925,35,158164
2020-01-01,Haldia,Iron Ore,101765,30567,107532,129.4,108.1,0.925,29,124479
2020-02-01,Visakhapatnam,Coal,226697,96235,196059,122.2,108.6,1.0,57,259458
2020-02-01,Visakhapatnam,Iron Ore,177499,66089,177514,122.2,108.6,1.0,50,208177
2020-02-01,Paradip,Coal,254963,79547,253495,122.2,108.6,1.0,55,307284
2020-02-01,Paradip,Iron Ore,205014,86101,176716,122.2,108.6,1.0,51,234860
2020-02-01,Chennai,Coal,170007,71847,164246,122.2,108.6,1.0,38,198134
2020-02-01,Chennai,Iron Ore,151921,48319,161797,122.2,108.6,1.0,41,184304
2020-02-01,Kamarajar,Coal,200345,70784,198371,122.2,108.6,1.0,42,230344
2020-02-01,Kamarajar,Iron Ore,149416,51117,143449,122.2,108.6,1.0,39,173035
2020-02-01,Haldia,Coal,140849,45956,146060,122.2,108.6,1.0,35,164115
2020-02-01,Haldia,Iron Ore,111884,43927,98978,122.2,108.6,1.0,26,131731
2020-03-01,Visakhapatnam,Coal,250019,97868,273767,117.5,111.0,1.075,52,293792
2020-03-01,Visakhapatnam,Iron Ore,191719,60121,190428,117.5,111.0,1.075,52,234898
2020-03-01,Paradip,Coal,277798,84070,245382,117.5,111.0,1.075,51,338340
2020-03-01,Paradip,Iron Ore,227862,74629,226933,117.5,111.0,1.075,53,276327
2020-03-01,Chennai,Coal,195927,85095,198633,117.5,111.0,1.075,46,233150
2020-03-01,Chennai,Iron Ore,149484,63626,128894,117.5,111.0,1.075,43,175538
2020-03-01,Kamarajar,Coal,191442,83717,196236,117.5,111.0,1.075,34,226794
2020-03-01,Kamarajar,Iron Ore,164943,50632,154849,117.5,111.0,1.075,40,197315
2020-03-01,Haldia,Coal,156299,51285,157613,117.5,111.0,1.075,36,190129
2020-03-01,Haldia,Iron Ore,123135,53795,120774,117.5,111.0,1.075,33,149590
2020-04-01,Visakhapatnam,Coal,264628,85672,225508,119.8,106.1,1.13,51,300457
2020-04-01,Visakhapatnam,Iron Ore,214269,83477,234097,119.8,106.1,1.13,51,243515
2020-04-01,Paradip,Coal,290071,116201,252534,119.8,106.1,1.13,56,323433
2020-04-01,Paradip,Iron Ore,233802,73193,243063,119.8,106.1,1.13,55,273520
2020-04-01,Chennai,Coal,193483,80294,172227,119.8,106.1,1.13,34,219731
2020-04-01,Chennai,Iron Ore,158871,56242,143498,119.8,106.1,1.13,47,179539
2020-04-01,Kamarajar,Coal,213657,92649,200373,119.8,106.1,1.13,48,242580
2020-04-01,Kamarajar,Iron Ore,158079,48867,165017,119.8,106.1,1.13,44,187409
2020-04-01,Haldia,Coal,158183,70296,143696,119.8,106.1,1.13,27,173557
2020-04-01,Haldia,Iron Ore,136023,55917,147234,119.8,106.1,1.13,28,152163
2020-05-01,Visakhapatnam,Coal,278634,124636,240592,118.3,110.5,1.15,50,324336
2020-05-01,Visakhapatnam,Iron Ore,219951,90804,229558,118.3,110.5,1.15,50,266317
2020-05-01,Paradip,Coal,303847,109087,317412,118.3,110.5,1.15,55,364381
2020-05-01,Paradip,Iron Ore,237910,88974,219241,118.3,110.5,1.15,60,271399
2020-05-01,Chennai,Coal,184709,76704,165094,118.3,110.5,1.15,40,217953
2020-05-01,Chennai,Iron Ore,138103,60274,139646,118.3,110.5,1.15,38,164592
2020-05-01,Kamarajar,Coal,216328,79812,213479,118.3,110.5,1.15,40,263895
2020-05-01,Kamarajar,Iron Ore,157390,49694,142824,118.3,110.5,1.15,44,179248
2020-05-01,Haldia,Coal,161193,54659,141175,118.3,110.5,1.15,24,191414
2020-05-01,Haldia,Iron Ore,125571,41357,130313,118.3,110.5,1.15,33,154304
2020-06-01,Visakhapatnam,Coal,265683,93862,260781,114.6,107.1,1.13,53,310820
2020-06-01,Visakhapatnam,Iron Ore,210998,87818,231966,114.6,107.1,1.13,51,237336
2020-06-01,Paradip,Coal,286301,108242,244223,114.6,107.1,1.13,63,327093
2020-06-01,Paradip,Iron Ore,231643,70260,207461,114.6,107.1,1.13,58,267754
2020-06-01,Chennai,Coal,200477,76351,200010,114.6,107.1,1.13,44,230632
2020-06-01,Chennai,Iron Ore,168997,53781,171920,114.6,107.1,1.13,41,196673
2020-06-01,Kamarajar,Coal,209374,91924,179623,114.6,107.1,1.13,44,234553
2020-06-01,Kamarajar,Iron Ore,178095,64909,178022,114.6,107.1,1.13,44,207347
2020-06-01,Haldia,Coal,159078,53144,135663,114.6,107.1,1.13,29,182207
2020-06-01,Haldia,Iron Ore,127743,49221,127995,114.6,107.1,1.13,32,145246
2020-07-01,Visakhapatnam,Coal,245437,97969,240727,116.9,106.0,1.075,47,278244
2020-07-01,Visakhapatnam,Iron Ore,206805,71607,192420,116.9,106.0,1.075,48,243953
2020-07-01,Paradip,Coal,273714,116122,261182,116.9,106.0,1.075,46,304498
2020-07-01,Paradip,Iron Ore,215154,92120,224559,116.9,106.0,1.075,63,244518
2020-07-01,Chennai,Coal,187875,57185,161806,116.9,106.0,1.075,35,208671
2020-07-01,Chennai,Iron Ore,155111,67382,160638,116.9,106.0,1.075,39,175664
2020-07-01,Kamarajar,Coal,190485,74559,192941,116.9,106.0,1.075,40,222853
2020-07-01,Kamarajar,Iron Ore,156968,70412,153871,116.9,106.0,1.075,36,179003
2020-07-01,Haldia,Coal,143734,58064,143630,116.9,106.0,1.075,31,161500
2020-07-01,Haldia,Iron Ore,121325,37879,117340,116.9,106.0,1.075,35,143135
